Epoch	Train_Loss	Valid_Loss	Train_PSNR	Valid_PSNR
1	0.032566	0.023013	26.42	30.85
2	0.023920	0.019732	28.55	32.14
3	0.022086	0.018681	29.08	32.68
4	0.021200	0.018194	29.35	32.99
5	0.020210	0.017086	29.63	33.52
6	0.019734	0.016212	29.80	34.03
7	0.019193	0.016571	29.94	33.84
8	0.018753	0.022670	30.08	31.19
9	0.018453	0.015262	30.18	34.54
10	0.018193	0.017886	30.24	32.95
11	0.017961	0.015642	30.33	34.32
12	0.017996	0.015651	30.34	34.37
13	0.017681	0.018126	30.42	33.18
14	0.017478	0.020152	30.47	32.39
15	0.017428	0.016597	30.50	33.95
16	0.017317	0.014362	30.53	35.14
17	0.017178	0.014855	30.58	34.83
18	0.017129	0.016029	30.59	34.15
19	0.017061	0.017385	30.61	33.56
20	0.017000	0.017428	30.64	33.40
21	0.016945	0.015486	30.65	34.54
22	0.016863	0.015602	30.68	34.37
23	0.016826	0.013953	30.68	35.45
24	0.016759	0.015291	30.71	34.67
25	0.016729	0.013826	30.72	35.57
26	0.016681	0.016397	30.74	34.12
27	0.016638	0.015108	30.76	34.63
28	0.016799	0.013762	30.70	35.57
29	0.016523	0.016767	30.77	33.89
30	0.016636	0.015066	30.77	34.74
